Patronyme,patronyme_prepare
FRANCOISE DOLTO (BOLLEVILLE),FRANCOISE DOLTO (BOLLEVILLE)
HAMEAU BAQUESNE (CHERBOURG-OCT,HAMEAU BAQUESNE (CHERBOURGOCT
DENNEVILLE,DENNEVILLE
ECOLE DES PENSEES,DES PENSEES
ECOLE SAINT-PAUL,SAINTPAUL
LASTELLE,LASTELLE
JULIEN BODIN,JULIEN BODIN
YVES POULIQUEN (MORTAIN),YVES POULIQUEN (MORTAIN)
DU CHÂTEAU,DU CHÂTEAU
LES COURLIS (QUERQUEVILLE),LES COURLIS (QUERQUEVILLE)
(QUETTETOT),(QUETTETOT)
RPI LA POINTE,RPI LA POINTE
SAINT-MARTIN-DES-CHAMPS,SAINTMARTINDESCHAMPS
(SAINT-ROMPHAIRE),(SAINTROMPHAIRE)
ECOLE DES 3 VILLAGES,DES 3 VILLAGES
LES LONGS PRES,LES LONGS PRES
BRASSENS - PIOTTE,BRASSENS  PIOTTE
SUR LE GUE,SUR LE GUE
LES VERGERS DU BEREL,LES VERGERS DU BEREL
ELEMENTAIRE - DARNIEULLES,DARNIEULLES
PRIMAIRE - DEYVILLERS,DEYVILLERS
LA P'TITE PRELE,LA P'TITE PRELE
LA HOLLANDE - LA VOIVRE,LA HOLLANDE  LA VOIVRE
TERRE DE LEGENDES - SAVIGNY,TERRE DE LEGENDES  SAVIGNY
LURI PIAZZA BILINGUE LCC,LURI PIAZZA BILINGUE LCC
FELIX MENNEGAND,FELIX MENNEGAND
ECOLE D'APPLICATION DU CENTRE,D'APPLICATION DU 
DE L'EPINETTE,DE L'EPINETTE
ALBERT 1ER,ALBERT 1ER
QUAI DE STRASBOURG,QUAI DE STRASBOURG
NOTRE-DAME ET SAINT-JOSEPH,NOTREDAME ET SAINTJOSEPH
MATERNELLE BILINGUE ANDRIA FAZ,BILINGUE ANDRIA FAZ
FOZZANO,FOZZANO
BILINGUE M-T MARCELLESI,BILINGUE MT MARCELLESI
ROBERT LENGELE,ROBERT LENGELE
CHARLOTTE DUSSARPS,CHARLOTTE DUSSARPS
RENE CARETTE,RENE CARETTE
CONSTANT DUTILLEUX,CONSTANT DUTILLEUX
DES GAMINS VERRIERS,DES GAMINS VERRIERS
CAYEUX,CAYEUX
DES VALETTES,DES VALETTES
DONAT - GODIN,DONAT  GODIN
GEORGE SAND - MOZART,GEORGE SAND  MOZART
LES CYGNES DU BOIS D'OSIERS,LES CYGNES DU BOIS D'OSIERS
VILLUIS,VILLUIS
CHARLOTTE DELBO,CHARLOTTE DELBO
RENEE FEVRIER,RENEE FEVRIER
CLAUDE DILAIN,CLAUDE DILAIN
LES POETES,LES POETES
INSTITUTION STE MONIQUE,STE MONIQUE
DUPATY,DUPATY
SCHWEITZER,SCHWEITZER
ASSOMPTION- STE CLOTILDE,ASSOMPTION STE CLOTILDE
DE LA PIMPINE,DE LA PIMPINE
HENRI SAUGUET,HENRI SAUGUET
ALICE DELAUNAY,ALICE DELAUNAY
RAOUL VERGIER,RAOUL VERGIER
SAINT GERY,SAINT GERY
LA RUCHETTE,LA RUCHETTE
LA SAUVE,LA SAUVE
LES MIQUELOTS,LES MIQUELOTS
JULES CHAMBRELENT,JULES CHAMBRELENT
INSTITUTION STE MARIE,STE MARIE
CHENILLE VERTE,CHENILLE VERTE
LES PITCHOUNS,LES PITCHOUNS
CHARRUAUDS,CHARRUAUDS
ST HILAIRE STE CERONNE,ST HILAIRE STE CERONNE
LOUIS FORTON,LOUIS FORTON
DE BETTEVILLE,DE BETTEVILLE
GEORGES BERNANOS,GEORGES BERNANOS
HENRI BLANC,HENRI BLANC
DESMALLIERES,DESMALLIERES
GOBELINS,GOBELINS
JEAN MERMOZ B,JEAN MERMOZ B
EUGENE VARLIN I,EUGENE VARLIN I
NOTRE DAME DES MINIMES,NOTRE DAME DES MINIMES
HIPPOLYTE CARNOT,HIPPOLYTE CARNOT
ALBERT MALET,ALBERT MALET
LA TARENTELLE,LA TARENTELLE
CHATELAIN,CHATELAIN
JEAN GUEHENNO ECOLE OUVERTE,JEAN GUEHENNO  OUVERTE
ANTOINE-LAURENT DE JUSSIEU,ANTOINELAURENT DE JUSSIEU
BLIQU'EN SEINE,BLIQU'EN SEINE
ANTONIN PERRIN,ANTONIN PERRIN
LE VERGER DES ENFANTS,LE VERGER DES ENFANTS
DUVAL LEGAY,DUVAL LEGAY
LA JOUGNENA,LA JOUGNENA
INTERCOMMUNALE DES DEUX LACS,INTERCOMMUNALE DES DEUX LACS
DE CUBJAC,DE CUBJAC
DE MAREUIL,DE MAREUIL
DES BARRIS,DES BARRIS
STE MARIE DE LA FERRADE,STE MARIE DE LA FERRADE
TOURVILLE,TOURVILLE
PAUL RENOUARD,PAUL RENOUARD
BILINGUE SALINES VI VICTOR HUG,BILINGUE SALINES VI VICTOR HUG
BILINGUE SIMONE VEIL,BILINGUE SIMONE VEIL
BILINGUE MOCA CROCE,BILINGUE MOCA CROCE
VINCENT DE PAUL,VINCENT DE PAUL
JEANNETTE VASSAL,JEANNETTE VASSAL
ANDREE BROC,ANDREE BROC
CALANDRETA D'ARTICS,CALANDRETA D'ARTICS
UHABIA IKASTOLA,UHABIA IKASTOLA
ECOLE DU HETRE BLANC,DU HETRE BLANC
DES GNOCS,DES GNOCS
ENNAT ET AUGUSTE LEGER,ENNAT ET AUGUSTE LEGER
MARIE NAVARRE,MARIE NAVARRE
NOTRE DAME DE L'ISLE,NOTRE DAME DE L'ISLE
KROAS-HENT,KROASHENT
SERGE TRUT,SERGE TRUT
GEORGES BERGEON,GEORGES BERGEON
LES CHANTS DU BRICE,LES CHANTS DU BRICE
BOURRAN,BOURRAN
ANN ROCARD,ANN ROCARD
LES TURRITELLES,LES TURRITELLES
LES PETITS ALBINS,LES PETITS ALBINS
PLUIE DE ROSES,PLUIE DE ROSES
SIMONE DARCEL,SIMONE DARCEL
EUGENE BESNARD,EUGENE BESNARD
LES VILLES MOISAN,LES VILLES MOISAN
L'HILVERN,L'HILVERN
LE ROUZ,LE ROUZ
ARGENTE,ARGENTE
HARRIBEY,HARRIBEY
JEAN BURY,JEAN BURY
ZOLA (CHERBOURG-OCTEVILLE),ZOLA (CHERBOURGOCTEVILLE)
ALBERT BAYET (CHERBOURG-OCTEVI,ALBERT BAYET (CHERBOURGOCTEVI
LES TANNERIES,LES TANNERIES
INST SEVIGNE CROIX DU LUDE,INST SEVIGNE CROIX DU LUDE
NOTRE DAME DE TOURBIAN,NOTRE DAME DE TOURBIAN
(OMONVILLE-LA-ROGUE),(OMONVILLELAROGUE)
CALMETTE GUÉRIN J. VERNE,CALMETTE GUÉRIN J. VERNE
DOCTEUR FLEMING,DOCTEUR FLEMING
NOTRE DAME DE L'ESPERANCE (TOU,NOTRE DAME DE L'ESPERANCE (TOU
SAINT EDERN,SAINT EDERN
DU BORD DE MER (URVILLE-NACQUE,DU BORD DE MER (URVILLENACQUE
NOTRE DAME (LONGNY AU PERCHE),NOTRE DAME (LONGNY AU PERCHE)
KERSTRAN,KERSTRAN
FAY PARMENTIER,FAY PARMENTIER
LA MARTINERIE,LA MARTINERIE
ECOLE DES CHAMPS DORES,DES CHAMPS DORES
RECHEVRES,RECHEVRES
GOUSSAINVILLE,GOUSSAINVILLE
PRE ROND,PRE ROND
INSTITUTION SAINTE AGNES,SAINTE AGNES
LES MONTS DU MATIN,LES MONTS DU MATIN
KERGOMARD RECAMIER,KERGOMARD RECAMIER
CLOS CHEVALIER,CLOS CHEVALIER
PERRAULT C.,PERRAULT C.
ECOLE DE LA QUINTAINE,DE LA QUINTAINE
VINCENT GABRIELLE,VINCENT GABRIELLE
PERRET (PIERRE),PERRET (PIERRE)
A.J DU PLESSIS-ECOLE DU SOCLE,A.J DU PLESSIS DU SOCLE
ENGERAND,ENGERAND
SABLONS-SEMARD,SABLONSSEMARD
ECOLE DU CHEMIN VERT,DU CHEMIN VERT
PERRIGNY ELEM,PERRIGNY ELEM
FREDERIC-AUGUSTE BARTHOLDI,FREDERICAUGUSTE BARTHOLDI
SEVENANS,SEVENANS
FURIANI II U PRINCIPELLU BILNG,FURIANI II U PRINCIPELLU BILNG
LUCIEN CROISET,LUCIEN CROISET
MICHAEL PELLEGRINI,MICHAEL PELLEGRINI
LA CRETE,LA CRETE
DE BOISINGES,DE BOISINGES
LA FARE,LA FARE
SAINT EXUPERY-SAINT PIERRE,SAINT EXUPERYSAINT PIERRE
COURS PERRIER,COURS PERRIER
RONCHAUX,RONCHAUX
MONT CHEVIS,MONT CHEVIS
LAMARTINE PRIMAIRE,LAMARTINE 
MARIA CALLAS  MAT,MARIA CALLAS  MAT
LES PETITS MONTAGNARDS,LES PETITS MONTAGNARDS
INTERCOMMUNALE LES MARRONNIERS,INTERCOMMUNALE LES MARRONNIERS
FORT LACHAUX,FORT LACHAUX
JULES  FERRY,JULES  FERRY
MAURICE CHOQUET,MAURICE CHOQUET
FAFET,FAFET
EMILE LESOT,EMILE LESOT
J COZETTE/M BERQUER,J COZETTE/M BERQUER
LAVARENNE,LAVARENNE
LA MEUNERIE,LA MEUNERIE
ELEMENTAIRE - LAVELINE-DU-HOUX,LAVELINEDUHOUX
A. RENAULD - PLOMBIERES-LES-B.,A. RENAULD  PLOMBIERESLESB.
DE LA POMMERAIE,DE LA POMMERAIE
SAINT LEUFROY,SAINT LEUFROY
LOUISE MICHEL 2,LOUISE MICHEL 2
LE TERROIR,LE TERROIR
NOYER DE L IMAGE,NOYER DE L IMAGE
LA FONTAINE BERTIN,LA FONTAINE BERTIN
QUATRE NOYERS,QUATRE NOYERS
MARIE PAPE - CARPANTIER,MARIE PAPE  CARPANTIER
ANTOINE DE SAINT- EXUPERY,ANTOINE DE SAINT EXUPERY
HANS HAUG,HANS HAUG
AMELIE 1,AMELIE 1
LOUIS ANDREA 2,LOUIS ANDREA 2
MEROSIER NARBAL,MEROSIER NARBAL
EXTERNAT ST JOSEPH DU MOULE,EXTERNAT ST JOSEPH DU MOULE
GRANDS-FONDS,GRANDSFONDS
LACROIX,LACROIX
DOTHEMARE 2,DOTHEMARE 2
ECOLE DU SACRE COEUR,DU SACRE COEUR
DOTHEMARE 1,DOTHEMARE 1
BOURG 2  SAINTE-ROSE,BOURG 2  SAINTEROSE
REIMONENQ JOSEPH,REIMONENQ JOSEPH
ANGELE NAYAGOM-EPITHER,ANGELE NAYAGOMEPITHER
BOURG TERRE DE HAUT,BOURG TERRE DE HAUT
BORD DE MER,BORD DE MER
ELIETTE DANGLADES,ELIETTE DANGLADES
STEPHAN PHINERA-HORTH,STEPHAN PHINERAHORTH
GR.SCOL.ALFRED CLIN,GR.SCOL.ALFRED CLIN
DE LA PETITE COLLINE,DE LA PETITE COLLINE
R.BLONDEAU,R.BLONDEAU
GROUPE DE GOURNAY,GROUPE DE GOURNAY
DES BLEUETS,DES BLEUETS
JULES DURAND,JULES DURAND
JEHAN DE GROUCHY II,JEHAN DE GROUCHY II
GABRIEL BOUVET,GABRIEL BOUVET
MADELEINE VERNET,MADELEINE VERNET
DAGOBERT,DAGOBERT
MOREL DE VINDE,MOREL DE VINDE
PALLU,PALLU
L'ERMITAGE,L'ERMITAGE
JACQUES COUSTEAU,JACQUES COUSTEAU
MERCIER ST PAUL,MERCIER ST PAUL
GROUPE MAURICE THOREZ,GROUPE MAURICE THOREZ
DES CONDAMINES,DES CONDAMINES
MA PENSEE,MA PENSEE
CATHOLIQUE NOTRE DAME DES NEIG,CATHOLIQUE NOTRE DAME DES NEIG
BRAS SEC,BRAS SEC
CLAIRE HENOU,CLAIRE HENOU
RENE MICHEL,RENE MICHEL
BOURG MURAT,BOURG MURAT
ANTOINE LUCAS,ANTOINE LUCAS
GROUPE SCOLAIRE CURIE-JAURES,CURIEJAURES
ANSELME LESAGE,ANSELME LESAGE
CHES TCHOS BERCKOES,CHES TCHOS BERCKOES
FEMELAND-DEZOTEUX,FEMELANDDEZOTEUX
LOUISE POLLET,LOUISE POLLET
DANY PRUVOT,DANY PRUVOT
MARIVAUX,MARIVAUX
GINETTE NEVEU,GINETTE NEVEU
LA SCIERIE,LA SCIERIE
BANNOST-VILLEGAGNON,BANNOSTVILLEGAGNON
LE CLOS SAINT-GEORGES,LE CLOS SAINTGEORGES
GEOFFROY SAINT-HILAIRE,GEOFFROY SAINTHILAIRE
DU LOUPIOT,DU LOUPIOT
CASSE-NOISETTES,CASSENOISETTES
ALBERT ET MARGUERITE DENVERS,ALBERT ET MARGUERITE DENVERS
NOTRE DAME DES FIEVRES,NOTRE DAME DES FIEVRES
LES ROSES FORT 1,LES ROSES FORT 1
JOSSIGNY,JOSSIGNY
BUISSON - LAMARTINE,BUISSON  LAMARTINE
LES PETITS MEULIERS,LES PETITS MEULIERS
AIME DEWITTE - RPC DE HOUDAIN-,AIME DEWITTE  RPC DE HOUDAIN
SAINTE ANASTASIE,SAINTE ANASTASIE
DU GRAND CHEMIN,DU GRAND CHEMIN
PIERRE NORD,PIERRE NORD
EUGENE ALBESSART,EUGENE ALBESSART
DOCTEUR AVERILL,DOCTEUR AVERILL
ELISE DUSSART,ELISE DUSSART
MARIE-LOUISE BOGART,MARIELOUISE BOGART
GUYNEMER-ROLLIN,GUYNEMERROLLIN
LES PETITS PRES VERTS,LES PETITS PRES VERTS
ALPHONSE THEETEN,ALPHONSE THEETEN
SAINTE GERTRUDE,SAINTE GERTRUDE
BELLEFORIERE,BELLEFORIERE
LE TRAIT D'UNION,LE TRAIT D'UNION
LES QUINCELETTES,LES QUINCELETTES
MONTEDOUR,MONTEDOUR
DE LA VALLEE BASSET,DE LA VALLEE BASSET
GROUPE SCOLAIRE LA REOLE,LA REOLE
CAZAUX LA FARANDOLE,CAZAUX LA FARANDOLE
SIMONE MIMBIELLE,SIMONE MIMBIELLE
MAURICE DEBACQ,MAURICE DEBACQ
MARCEL LELONG,MARCEL LELONG
SAINT-EXUPERY 1,SAINTEXUPERY 1
PAUL ET AIMEE RIVIERE,PAUL ET AIMEE RIVIERE
L ALLEE COUVERTE,L ALLEE COUVERTE
Y.ARTHUS-BERTRAND LES CAMELIAS,Y.ARTHUSBERTRAND LES CAMELIAS
VIVE L ENFANCE,VIVE L ENFANCE
G. BRUHAT,G. BRUHAT
OCEANE,OCEANE
SAINT JEAN D'AOUT,SAINT JEAN D'AOUT
ECOLE DE LA LANDE,DE LA LANDE
F. CONCARET,F. CONCARET
MAGDELAINE,MAGDELAINE
MONCAUT,MONCAUT
SAINT PIERRE DE CAUBEL,SAINT PIERRE DE CAUBEL
NOIRTERRE,NOIRTERRE
DE L'OUINE - LE BREUIL BERNARD,DE L'OUINE  LE BREUIL BERNARD
PETIT BOIS,PETIT BOIS
MARIE-JEANNE ESTEVENON,MARIEJEANNE ESTEVENON
RPI CANET-RAISSAC-VILLEDAIGNE,RPI CANETRAISSACVILLEDAIGNE
CAP DE BOS,CAP DE BOS
JEAN BEYNEL,JEAN BEYNEL
JACQUES CHASTENET,JACQUES CHASTENET
JEANNE MIQUEL,JEANNE MIQUEL
MARIE CATALA,MARIE CATALA
CALANDRETA LA GRANHOTA,CALANDRETA LA GRANHOTA
J. HUDELLE,J. HUDELLE
PAUL GUILHEM,PAUL GUILHEM
RENE PIQUEMAL,RENE PIQUEMAL
CALANDRETA LO BECARUT,CALANDRETA LO BECARUT
L'AIGUILLE,L'AIGUILLE
LES PROMELLES,LES PROMELLES
CELESTIN FREINET GR2,CELESTIN FREINET GR2
JEAN-IRENEE LAGNOUX,JEANIRENEE LAGNOUX
L'ILE VERTE,L'ILE VERTE
LA ROUVIERETTE,LA ROUVIERETTE
EDOUARD VAILLANT GR2,EDOUARD VAILLANT GR2
FREDERIC MISTRAL.,FREDERIC MISTRAL.
RENE DELEUZE,RENE DELEUZE
RACHEL CABANE,RACHEL CABANE
PHILIPPE MADRELLE,PHILIPPE MADRELLE
ALIENOR D 'AQUITAINE,ALIENOR D 'AQUITAINE
ANDRE MEUNIER,ANDRE MEUNIER
ANDRE PEYNAUD,ANDRE PEYNAUD
CAMARSAC ET CROIGNON,CAMARSAC ET CROIGNON
ECOLE DE LOUCHATS,DE LOUCHATS
LUCIE ARTU,LUCIE ARTU
MONTAUROY,MONTAUROY
MARSAN,MARSAN
RACHEL TAYTEL,RACHEL TAYTEL
BEILLET,BEILLET
JEAN MOUCHET,JEAN MOUCHET
THEOPHILE DE VIAU,THEOPHILE DE VIAU
DE LA CLEF DES CHAMPS (FRENES),DE LA CLEF DES CHAMPS (FRENES)
DES MOTS TORDUS,DES MOTS TORDUS
(LE BOURG-ST-LEONARD),(LE BOURGSTLEONARD)
LA MARINERIE (ST-CORNIER-DES-L,LA MARINERIE (STCORNIERDESL
DES MONTIERS,DES MONTIERS
ANNE-MARIE MARTEL,ANNEMARIE MARTEL
PREHISTOVAL,PREHISTOVAL
LES BOUCLES,LES BOUCLES
MAXIMILIEN ROBESPIERRE I,MAXIMILIEN ROBESPIERRE I
MAURICE BOUCHOR I,MAURICE BOUCHOR I
JEAN PICART LE DOUX,JEAN PICART LE DOUX
L'ARBRE QUI CHANTE,L'ARBRE QUI CHANTE
MONCOUTANT,MONCOUTANT
SUZANNE ET RENE MARSTEAU,SUZANNE ET RENE MARSTEAU
ROBERT COURTIAL,ROBERT COURTIAL
LA PETITE GARRIGUE,LA PETITE GARRIGUE
JEAN CLAUDE BASTID,JEAN CLAUDE BASTID
ROGER GARDET,ROGER GARDET
AIXE SUR VIENNE,AIXE SUR VIENNE
AUREIL,AUREIL
BUJALEUF,BUJALEUF
BUSSIERE GALANT GARE,BUSSIERE GALANT GARE
CHAILLAC SUR VIENNE,CHAILLAC SUR VIENNE
JABREILLES LES BORDES,JABREILLES LES BORDES
LE CHATENET EN DOGNON,LE CHATENET EN DOGNON
MARGUERITE MESSIER,MARGUERITE MESSIER
BEAUPEYRAT,BEAUPEYRAT
MOISSANNES,MOISSANNES
SUSSAC,SUSSAC
VAULRY,VAULRY
CEZANNE RENOIR,CEZANNE RENOIR
GRACE DE MONACO,GRACE DE MONACO
LOUIS RENAULT,LOUIS RENAULT
SAINTE-CECILE,SAINTECECILE
SUD MICHELET,SUD MICHELET
LE TENNIS,LE TENNIS
HENRI LAURIOL,HENRI LAURIOL
MARCEL LARGE,MARCEL LARGE
DOCTEUR CHAVANCE,DOCTEUR CHAVANCE
LUCIENNE ET GABRIEL POMMIER,LUCIENNE ET GABRIEL POMMIER
ROSOIRS,ROSOIRS
JEAN ALIO,JEAN ALIO
ARRELS VERNET,ARRELS VERNET
CENTRE DU MOULIN,DU MOULIN
PRIMAIRE - ISCHES,ISCHES
DOMAINE DE LANGE,DOMAINE DE LANGE
BOUTOULE,BOUTOULE
MICHEL BALLION,MICHEL BALLION
JEAN CONDORCET,JEAN CONDORCET
CHARLES DARD,CHARLES DARD
PIERRE MARBOUTY,PIERRE MARBOUTY
LES CHARBONNIERS,LES CHARBONNIERS
LA SALLE FELIX AUNAC,LA SALLE FELIX AUNAC
J.F. SAMAZEUILH,J.F. SAMAZEUILH
GEORGES LECOMTE,GEORGES LECOMTE
JEAN MACE - EPINAL,JEAN MACE  EPINAL
MIREILLE CHRISOSTOME,MIREILLE CHRISOSTOME
LA FONTAINE CARIOU,LA FONTAINE CARIOU
SAINTE POMPEE,SAINTE POMPEE
LES FONTENELLES,LES FONTENELLES
LA RADE,LA RADE
LAVERNHE,LAVERNHE
ARZMAEL,ARZMAEL
COAT EDERN,COAT EDERN
LE VIZAC,LE VIZAC
GPE SCOL MARC BOURHIS,GPE SCOL MARC BOURHIS
LES CALLUNES,LES CALLUNES
ECOLE DES TROIS CHENES,DES TROIS CHENES
LA PIERRE POURPREE,LA PIERRE POURPREE
ST CLEMENT,ST CLEMENT
ST JEAN S COUESNON,ST JEAN S COUESNON
ST HENRI-ST JOSEPH,ST HENRIST JOSEPH
CHARLOTTE ET GABRIEL DIEUDE,CHARLOTTE ET GABRIEL DIEUDE
DU PIC DU MIDI,DU PIC DU MIDI
LA CALANDRETA DE BIGORRA,LA CALANDRETA DE BIGORRA
ARBIZON-MONTAIGU,ARBIZONMONTAIGU
LA FEUILLAISON,LA FEUILLAISON
ST SIXTE,ST SIXTE
DU BOIS TISON,DU BOIS TISON
CAPUCINE,CAPUCINE
L'OREE DU PARC,L'OREE DU PARC
RAYMONDE LEFRANCOIS,RAYMONDE LEFRANCOIS
ANCELOT,ANCELOT
MAILLERAYE,MAILLERAYE
PERCANVILLE,PERCANVILLE
MARCEL BRETON,MARCEL BRETON
DU MANOIR,DU MANOIR
IRENE JOLIOT-CURIE I,IRENE JOLIOTCURIE I
FERRY - JAURES,FERRY  JAURES
MONOD CAMUS,MONOD CAMUS
DE BEAUSSAC,DE BEAUSSAC
J COUTY,J COUTY
SAINT BENIGNE,SAINT BENIGNE
DUFLOT,DUFLOT
MARCEL LEFEVRE,MARCEL LEFEVRE
VENABLES,VENABLES
DANIEL JEANNEY,DANIEL JEANNEY
PIERRE PIROU,PIERRE PIROU
LES HALLES,LES HALLES
MARC ROUSSEL,MARC ROUSSEL
BD RICHET,BD RICHET
LA COLOMBIERE,LA COLOMBIERE
LES 7 ECLUSES,LES 7 ECLUSES
MIREILLE ET GASTON MALLET,MIREILLE ET GASTON MALLET
TERENCE RIDOUT,TERENCE RIDOUT
LES TOURNESOLS (CHERBOURG-OCTE,LES TOURNESOLS (CHERBOURGOCTE
RAYMOND LE CORRE (EQUEURDREVIL,RAYMOND LE CORRE (EQUEURDREVIL
ECOLE DE LA SAINTE-FAMILLE,DE LA SAINTEFAMILLE
GROUPE SCOLAIRE DES 3 POMMES,DES 3 POMMES
ECOLE VERGONCEY,VERGONCEY
HENRI MATISSE (GAUVILLE),HENRI MATISSE (GAUVILLE)
F. LEIZOUR,F. LEIZOUR
RUE PETIT,RUE PETIT
BOULEVARD,BOULEVARD
VALENTENOUZE,VALENTENOUZE
GEVINGEY,GEVINGEY
ANTOINE LYONNET,ANTOINE LYONNET
KIFFEL-CHENIER,KIFFELCHENIER
A. CHENIER,A. CHENIER
RENE COTY II,RENE COTY II
LOUIS-PHILIPPE LANGE,LOUISPHILIPPE LANGE
GEORGES CUVIER,GEORGES CUVIER
GOURETTE,GOURETTE
ORTZAIZEKO IKASTOLA,ORTZAIZEKO IKASTOLA
PIERRE MALARDIER,PIERRE MALARDIER
DONIBANE - STE FAMILLE D'URQUI,DONIBANE  STE FAMILLE D'URQUI
ARBEROA IKASTOLA,ARBEROA IKASTOLA
ST FRANCOIS XAVIER,ST FRANCOIS XAVIER
ABENSE DE BAS,ABENSE DE BAS
LUCIE ET ALBERT PANET,LUCIE ET ALBERT PANET
GERMAINE ET HUBERT AUREIX,GERMAINE ET HUBERT AUREIX
GROUPE SCOLAIRE ROGER CERCLIER,ROGER CERCLIER
GRPE SCOLAIRE DES BOIS FRANCS,GRPE SCOLAIRE DES BOIS FRANCS
RODIN,RODIN
HAMEAU DE CURE,HAMEAU DE CURE
LE GEYSER  MATERNELLE,LE GEYSER  
LA VENELLE,LA VENELLE
LES PALICES PRIMAIRE,LES PALICES 
MERKAZ HATORAH,MERKAZ HATORAH
MARGUERITE LEOPOLD,MARGUERITE LEOPOLD
DANTON 2,DANTON 2
HELENE COCHENNEC,HELENE COCHENNEC
FREDERICK LEMAITRE,FREDERICK LEMAITRE
LES FORTES TERRES,LES FORTES TERRES
FELIX EBOUE,FELIX EBOUE
DELAUNAY-BELLEVILLE,DELAUNAYBELLEVILLE
CLOS DE LA SALLE,CLOS DE LA SALLE
LOUISE DE VILMORIN,LOUISE DE VILMORIN
GIRAUD TEULON,GIRAUD TEULON
MICHEL ETIENNE TURGOT,MICHEL ETIENNE TURGOT
VILLAGE DE MONTREUIL,VILLAGE DE MONTREUIL
DES BOIS DE COULEURS,DES BOIS DE COULEURS
CHARLES VENDOMELE,CHARLES VENDOMELE
DE BRAS CREUX,DE BRAS CREUX
MAXIMILIEN LORION,MAXIMILIEN LORION
LES CANAILLOUS,LES CANAILLOUS
LA CASTELLE,LA CASTELLE
ASSOMPTION SAINTE THERESE,ASSOMPTION SAINTE THERESE
JACQUES MONTAGNE,JACQUES MONTAGNE
AGNES GELLY,AGNES GELLY
BOIS-JOLI,BOISJOLI
JULES REYDELLET B,JULES REYDELLET B
RIVIERE DE L'EST,RIVIERE DE L'EST
ALBERT LOUGNON,ALBERT LOUGNON
ROQUEFEUIL,ROQUEFEUIL
MATHILDE FRAPPIER DE MONTBENOI,MATHILDE FRAPPIER DE MONTBENOI
YVONNE IAFARE,YVONNE IAFARE
PIERRE LAGOURGUE,PIERRE LAGOURGUE
SOLANGE FITTE-DUVAL,SOLANGE FITTEDUVAL
LEON MAMIE REDOUTE,LEON MAMIE REDOUTE
SABINE ANDRIVON-MILTON (EX SAI,SABINE ANDRIVONMILTON (EX SAI
VALENTINE BREDAS,VALENTINE BREDAS
CADETTE,CADETTE
MANNIKOU,MANNIKOU
DESMARINIERES,DESMARINIERES
MORNE LAVALEUR,MORNE LAVALEUR
BANDRELE VILLAGE,BANDRELE VILLAGE
POROANI MATERNELLE,POROANI 
MAJICAVO LAMIR MATERNELLE,MAJICAVO LAMIR 
VAHIBE 3,VAHIBE 3
PAMANDZI 3   BAHONI,PAMANDZI 3   BAHONI
J GUEHENNO,J GUEHENNO
MICHEL PONDAVEN,MICHEL PONDAVEN
GROUPE SCOLAIRE DE VERDIERE,DE VERDIERE
SABLON LE CAVALIER BLEU,SABLON LE CAVALIER BLEU
BORNY GR3 LES MIRABELLES,BORNY GR3 LES MIRABELLES
SAINTE THERESE J. MORETTE,SAINTE THERESE J. MORETTE
BORNY ZUP BARRES,BORNY ZUP BARRES
BLIES BICULTURELLE,BLIES BICULTURELLE
JEUNES CHENES - REHAINCOURT,JEUNES CHENES  REHAINCOURT
LES NENUPHARS,LES NENUPHARS
SARLASONNE,SARLASONNE
ALEXIUS DE LACROIX,ALEXIUS DE LACROIX
BOURG GOYAVE,BOURG GOYAVE
PIERRETTE,PIERRETTE
GUY CORNELY 2,GUY CORNELY 2
VIARD,VIARD
JOSEPH JUDITH,JOSEPH JUDITH
CLAIR SAINT-MAXIMIN,CLAIR SAINTMAXIMIN
SAINT-ANGE METHON,SAINTANGE METHON
ARMIDE EUZET,ARMIDE EUZET
DELAUNAY KERGOMARD,DELAUNAY KERGOMARD
RPC LOEUILLY,RPC LOEUILLY
JACQUES PREVERT-LA FRANCE,JACQUES PREVERTLA FRANCE
DU BOIS LEVAL,DU BOIS LEVAL
SAINT ALBERT,SAINT ALBERT
BRADFER - SAINT JEAN-BAPTISTE,BRADFER  SAINT JEANBAPTISTE
SOLANGE PIERROT,SOLANGE PIERROT
FRANCOIS LAUX,FRANCOIS LAUX
CLOS VINOT,CLOS VINOT
JULES-DENIS ASSELIN,JULESDENIS ASSELIN
LES CATALPAS,LES CATALPAS
LA CROIX CALTEAU,LA CROIX CALTEAU
TRAIT D'UNION,TRAIT D'UNION
GROUPE SCOLAIRE SIMON BATZ,SIMON BATZ
GROUPE SCOLAIRE ROTENBERG,ROTENBERG
R.P.I,R.P.I
COROT,COROT
DANIELLE GOUZE-MITTERRAND,DANIELLE GOUZEMITTERRAND
DU PASSEUR,DU PASSEUR
BOIS BRULET,BOIS BRULET
DU BAS CONE,DU BAS CONE
AMAND LEFEUVRE,AMAND LEFEUVRE
APPLICATION EDOUARD BRANLY NIV,APPLICATION EDOUARD BRANLY NIV
LA MOTTE AU BOIS,LA MOTTE AU BOIS
GROUPE LEON-PAUL BOISSEAU,GROUPE LEONPAUL BOISSEAU
GROUPE PHILPPE-LAURENT ROLAND,GROUPE PHILPPELAURENT ROLAND
LOUISE ROLAND,LOUISE ROLAND
GEORGES PAMART,GEORGES PAMART
LES PALOMBES,LES PALOMBES
